department_name_raw,parent_department_display_name,section_display_name,department_display_name,mapping_status,mapping_source,mapping_note
土＊交通安全自転車課,土木部,交通安全自転車課,土木部 交通安全自転車課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ216で照合
土＊工事第一課,土木部,工事第一課,土木部 工事第一課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ213～218で照合
土＊工事第二課,土木部,工事第二課,土木部 工事第二課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ213～218で照合
土＊豪雨・下水道整備課,土木部,豪雨・下水道整備課,土木部 豪雨・下水道整備課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ214～216で照合
土＊土木計画調整課,土木部,土木計画調整課,土木部 土木計画調整課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ213・214・218で照合
道計＊交通政策課,道路・交通計画部,交通政策課,道路・交通計画部 交通政策課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ223・224で照合
道計＊道路管理課,道路・交通計画部,道路管理課,道路・交通計画部 道路管理課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ214で照合
道計＊道路計画課,道路・交通計画部,道路計画課,道路・交通計画部 道路計画課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ215・216で照合
道計＊道路事業推進課,道路・交通計画部,道路事業推進課,道路・交通計画部 道路事業推進課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ215で照合
保政＊国保・年金課,保健福祉政策部,国保・年金課,保健福祉政策部 国保・年金課,matched,official_pdf,内訳事業名・金額・budget_item_keyを一般・国保・後期会計PDFページ184以降で照合
保政＊生活福祉課,保健福祉政策部,生活福祉課,保健福祉政策部 生活福祉課,matched,official_pdf,内訳事業名・金額・budget_item_keyを一般・介護会計PDFページ182以降で照合
保政＊保健福祉政策課,保健福祉政策部,保健福祉政策課,保健福祉政策部 保健福祉政策課,matched,official_pdf,内訳事業名・金額・budget_item_keyを一般・特別会計PDFページ182以降で照合
保政＊保険料収納課,保健福祉政策部,保険料収納課,保健福祉政策部 保険料収納課,matched,official_pdf,内訳事業名・金額・budget_item_keyを国保会計PDFページ299・309で照合
保政＊保福推進課,保健福祉政策部,保福推進課,保健福祉政策部 保福推進課,matched,official_pdf,内訳事業名・金額・budget_item_keyを一般・介護会計PDFページ182以降で照合
防街＊建築安全課,防災街づくり担当部,建築安全課,防災街づくり担当部 建築安全課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ215・221で照合
防街＊市街地整備課,防災街づくり担当部,市街地整備課,防災街づくり担当部 市街地整備課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ215・221・224で照合
防街＊防災街づくり課,防災街づくり担当部,防災街づくり課,防災街づくり担当部 防災街づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ221・224で照合
北センター＊健康づくり課,北沢総合支所,健康づくり課,北沢総合支所 健康づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ204・206で照合
北センター＊子家庭支援課,北沢総合支所,子家庭支援課,北沢総合支所 子家庭支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
北センター＊生活支援課,北沢総合支所,生活支援課,北沢総合支所 生活支援課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
北センター＊保健福祉課,北沢総合支所,保健福祉課,北沢総合支所 保健福祉課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ183で照合
北支＊街づくり課,北沢総合支所,街づくり課,北沢総合支所 街づくり課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ224で照合
北支＊地域振興課,北沢総合支所,地域振興課,北沢総合支所 地域振興課,matched,official_pdf,内訳事業名・金額・budget_item_keyをPDFページ167～172で照合
