revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_display_name,source_funding_category_name,funding_nature,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,is_zero_amount,related_program_count,source_file,source_row_number
rd_2026_general_revenue_12_01_01_02_06_2335100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,06,深沢区民センター,玉川総合支所 地域振興課,使用料,specific,3680,3750,70,false,1,ippansainyu.csv,16803
rd_2026_general_revenue_12_01_01_02_07_2335100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,07,奥沢区民センター,玉川総合支所 地域振興課,使用料,specific,2070,2110,40,false,1,ippansainyu.csv,16804
rd_2026_general_revenue_12_01_01_02_08_2335100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,08,玉川台区民センター,玉川総合支所 地域振興課,使用料,specific,2300,4920,2620,false,1,ippansainyu.csv,16805
rd_2026_general_revenue_12_01_01_02_09_2535100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,09,上北沢区民センター,烏山総合支所 地域振興課,使用料,specific,3117,3530,413,false,1,ippansainyu.csv,16862
rd_2026_general_revenue_12_01_01_02_10_2535100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,10,粕谷区民センター,烏山総合支所 地域振興課,使用料,specific,4140,4731,591,false,1,ippansainyu.csv,16863
rd_2026_general_revenue_12_01_01_02_11_2435100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,11,鎌田区民センター,砧総合支所 地域振興課,使用料,specific,5221,5810,589,false,1,ippansainyu.csv,16833
rd_2026_general_revenue_12_01_01_02_12_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,12,桜丘区民センター,世田谷総合支所 地域振興課,使用料,specific,9374,10273,899,false,1,ippansainyu.csv,16742
rd_2026_general_revenue_12_01_01_03_06_2535100000,rs_2026_general_revenue_12_01_01_03,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,03,食堂施設,06,上北沢区民センター,烏山総合支所 地域振興課,使用料,specific,489,489,0,false,1,ippansainyu.csv,16864
rd_2026_general_revenue_12_01_01_03_08_2135100000,rs_2026_general_revenue_12_01_01_03,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,03,食堂施設,08,宮坂区民センター,世田谷総合支所 地域振興課,使用料,specific,434,435,1,false,1,ippansainyu.csv,16743
rd_2026_general_revenue_12_01_01_05_01_3235200000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,01,庁舎,庁舎整備担当部 庁舎管理担当課,使用料,specific,2983,3974,991,false,1,ippansainyu.csv,16958
