budget_program_identity_id,fiscal_year,account_code,account_name,budget_item_key,display_program_name,normalized_program_name,department_name,normalized_department_name,candidate_budget_book_pages,total_amount_thousand_yen,member_group_count,source_type
bpi_de1c4b386e37ecc85c336b6ea94c0978d5bf6b01ac76335203ebb6a94bb6fd55,2026,general,一般会計,2026_general_expenditure_02_03_01,まちづくり推進（烏山）,まちづくり推進(烏山),烏支＊地域振興課,烏支*地域振興課,327,1773,1,derived
bpi_22a5b9caa3933a41d050d606ff8910317281f2814d6fcf7daf91831ee02ed264,2026,general,一般会計,2026_general_expenditure_02_03_01,まちづくり推進（玉川）,まちづくり推進(玉川),玉支＊地域振興課,玉支*地域振興課,327,4521,1,derived
bpi_f4a178285cc0142b885528332852bfbf39b8336b006432890b57223219155aa7,2026,general,一般会計,2026_general_expenditure_02_03_01,まちづくり推進（砧）,まちづくり推進(砧),砧支＊地域振興課,砧支*地域振興課,327,2782,1,derived
bpi_ee9fa157fa2663b614b4dd4c935a67fcc3cd3e8e25a1c463fbec02dd7a6cad30,2026,general,一般会計,2026_general_expenditure_02_03_01,二十歳のつどい,二十歳のつどい,生政＊健康村・ふる交流課,生政*健康村・ふる交流課,327,14972,1,derived
bpi_0dc89eb2784d759b0c16006ac662d8861d8baa2ee9d2771591e8051c40e71132,2026,general,一般会計,2026_general_expenditure_02_03_01,人権推進事業,人権推進事業,生政＊人権男女共同参画課,生政*人権男女共同参画課,327,3244,1,derived
bpi_afdba6d6b7f65185e3ad3c4ef001bc70f47e8a044e464e699d0d024e3c3311c8,2026,general,一般会計,2026_general_expenditure_02_03_01,住居表示維持管理,住居表示維持管理,地行＊住民記録・戸籍課,地行*住民記録・戸籍課,327,6861,1,derived
bpi_1092f1db902642ec96cbe841da2ea005808cce8fc9ac64f4efc741b21fab437d,2026,general,一般会計,2026_general_expenditure_02_03_01,公共施設利用案内システム維持運営,公共施設利用案内システム維持運営,地域行政部＊地域行政課,地域行政部*地域行政課,327,105698,1,derived
bpi_ee7f752396b365521c62e9f692ea99c45859bd3bb3c1a6779c3e51ef5873203a,2026,general,一般会計,2026_general_expenditure_02_03_01,出張所広報,出張所広報,地域行政部＊地域行政課,地域行政部*地域行政課,327,10511,1,derived
bpi_da09386e17972d16fad2d9368ddf0a2bae003f4bee012d1fe6e2a2548181609a,2026,general,一般会計,2026_general_expenditure_02_03_01,北沢防犯協会（北沢）,北沢防犯協会(北沢),北支＊地域振興課,北支*地域振興課,327,1000,1,derived
bpi_c428fc69da6c8cc79ef71acd4bc1643c0bafcc9050050214320c02f3c21f62bf,2026,general,一般会計,2026_general_expenditure_02_03_01,区広報板維持管理,区広報板維持管理,地域行政部＊地域行政課,地域行政部*地域行政課,327,19441,1,derived
bpi_6f35480c5da2fc3bad7fbe1852d5a58b13bc3e4955e371f58e9dab945667f4e6,2026,general,一般会計,2026_general_expenditure_02_03_01,地域交流・まつり事業支援,地域交流・まつり事業支援,生政＊健康村・ふる交流課,生政*健康村・ふる交流課,327,134512,1,derived
bpi_c990abc7a8b17a6c486db70f9d26bad01fc087db30065c9c949be1deee3925b7,2026,general,一般会計,2026_general_expenditure_02_03_01,地域包括ケア地区展開調整事務,地域包括ケア地区展開調整事務,地域行政部＊地域行政課,地域行政部*地域行政課,327,698,1,derived
