revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,detail_count,validation_status,source_type
rs_2026_general_revenue_12_02_05_05,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,05,長期優良住宅認定,6813,6813,0,6813,0,0,6813,0,1,ok,derived
rs_2026_general_revenue_12_02_05_10,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,10,諸証明,12723,12527,-196,12527,0,0,12527,0,10,ok,derived
rs_2026_general_revenue_12_02_05_11,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,11,開発許可,6177,6169,-8,6169,0,0,6169,0,1,ok,derived
rs_2026_general_revenue_12_02_05_15,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,15,位置指定申請,1000,1000,0,1000,0,0,1000,0,1,ok,derived
rs_2026_general_revenue_12_02_05_16,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,16,宅地造成許可,1,1,0,1,0,0,1,0,1,ok,derived
rs_2026_general_revenue_12_02_05_17,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,17,建築確認・検査,16025,16060,35,16060,0,0,16060,0,1,ok,derived
rs_2026_general_revenue_12_02_05_18,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,18,低炭素建築物認定,1000,1500,500,1500,0,0,1500,0,1,ok,derived
rs_2026_general_revenue_12_02_05_19,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,19,建築物エネルギー消費性能向上認定,5,5,0,5,0,0,5,0,1,ok,derived
rs_2026_general_revenue_12_02_05_21,2026_general_revenue_12_02_05,2026,general,一般会計,revenue,12,使用料及手数料,02,手数料,05,土木手数料,21,盛土規制法許可,200,304,104,304,0,0,304,0,1,ok,derived
rs_2026_general_revenue_13_01_01_05,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,05,特別障害者手当等支給費,221782,218577,-3205,218577,0,0,218577,0,1,ok,derived
rs_2026_general_revenue_13_01_01_06,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,06,生活保護費,16541975,17042070,500095,17042070,0,0,17042070,0,3,ok,derived
rs_2026_general_revenue_13_01_01_07,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,07,入院助産措置費,5276,4857,-419,4857,0,0,4857,0,1,ok,derived
rs_2026_general_revenue_13_01_01_08,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,08,障害福祉サービス費等,10013795,10499072,485277,10499072,0,0,10499072,0,5,ok,derived
rs_2026_general_revenue_13_01_01_09,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,09,児童手当支給費,15489902,14142587,-1347315,14142587,0,0,14142587,0,1,ok,derived
rs_2026_general_revenue_13_01_01_11,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,11,国民年金事務費,214909,223711,8802,223711,0,0,223711,0,2,ok,derived
rs_2026_general_revenue_13_01_01_14,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,14,保険基盤安定費,801612,819796,18184,819796,0,0,819796,0,1,ok,derived
rs_2026_general_revenue_13_01_01_17,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,17,母子生活支援施設費,118714,112870,-5844,112870,0,0,112870,0,2,ok,derived
rs_2026_general_revenue_13_01_01_18,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,18,児童扶養手当支給費,410048,454542,44494,454542,0,0,454542,0,1,ok,derived
rs_2026_general_revenue_13_01_01_20,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,20,特別障害給付事務費,140,153,13,153,0,0,153,0,1,ok,derived
rs_2026_general_revenue_13_01_01_23,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,23,特定中国残留邦人等支援事業,34761,33769,-992,33769,0,0,33769,0,3,ok,derived
rs_2026_general_revenue_13_01_01_28,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,28,介護保険料軽減費,277544,266451,-11093,266451,0,0,266451,0,1,ok,derived
rs_2026_general_revenue_13_01_01_31,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,31,生活困窮者自立相談支援事業費等負担金,99888,97665,-2223,97665,0,0,97665,0,6,ok,derived
rs_2026_general_revenue_13_01_01_33,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,33,施設型給付費（私立保育園）,11014091,11736952,722861,11736952,0,0,11736952,0,1,ok,derived
rs_2026_general_revenue_13_01_01_34,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,34,施設型給付費（認定こども園）,503482,526693,23211,526693,0,0,526693,0,2,ok,derived
rs_2026_general_revenue_13_01_01_35,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,35,施設型給付費（地域型保育事業）,630982,867897,236915,867897,0,0,867897,0,4,ok,derived
rs_2026_general_revenue_13_01_01_38,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,38,施設型給付費（私立幼稚園）,189542,257971,68429,257971,0,0,257971,0,1,ok,derived
rs_2026_general_revenue_13_01_01_40,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,40,子育てのための施設等利用給付交付金,1187433,1210078,22645,1210078,0,0,1210078,0,5,ok,derived
rs_2026_general_revenue_13_01_01_41,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,41,障害児入所施設措置費,39998,33786,-6212,33786,0,0,33786,0,1,ok,derived
rs_2026_general_revenue_13_01_01_43,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,43,児童入所施設費等,77930,85058,7128,85058,0,0,85058,0,2,ok,derived
rs_2026_general_revenue_13_01_01_44,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,44,児童入所施設措置費等,632068,753461,121393,753461,0,0,753461,0,4,ok,derived
rs_2026_general_revenue_13_01_01_45,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,45,重層的支援体制整備事業,214639,224473,9834,224473,0,0,224473,0,4,ok,derived
rs_2026_general_revenue_13_01_01_46,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,46,未就学児均等割保険料負担金,34330,33663,-667,33663,0,0,33663,0,1,ok,derived
rs_2026_general_revenue_13_01_01_47,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,47,産前産後保険料負担金,16402,21463,5061,21463,0,0,21463,0,1,ok,derived
rs_2026_general_revenue_13_01_01_48,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,48,乳児等支援給付費（私立幼稚園）,0,623,623,623,0,0,623,0,2,ok,derived
rs_2026_general_revenue_13_01_01_49,2026_general_revenue_13_01_01,2026,general,一般会計,revenue,13,国庫支出金,01,国庫負担金,01,民生費負担金,49,乳児等支援給付費（私立幼稚園施設型給付）,0,364,364,364,0,0,364,0,1,ok,derived
