revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_code,department_name,source_revenue_number,source_revenue_number_name,source_funding_category_code,source_funding_category_name,funding_nature,previous_amount_thousand_yen,requested_amount_thousand_yen,estimated_amount_thousand_yen,current_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,request_content,assessment_content,is_zero_amount,source_type,source_file,source_row_number
rd_2026_general_revenue_11_01_03_07_01_3865500000,rs_2026_general_revenue_11_01_03_07,2026_general_revenue_11_01_03,2026,general,一般会計,revenue,11,分担金及負担金,01,負担金,03,土木費負担金,07,鉄道立体化調査費,01,鉄道立体化調査負担金,3865500000,道計＊交通政策課,8922,負担金鉄道立体化調査費鉄道立体化調査負担金,6,負担金,specific,8000,0,0,0,0,0,,,true,official_csv,ippansainyu.csv,18673
rd_2026_general_revenue_12_01_01_01_05_2535100000,rs_2026_general_revenue_12_01_01_01,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,01,区民会館,05,烏山区民会館,2535100000,烏支＊地域振興課,29,使用料区民会館烏山区民会館,3,使用料,specific,25300,28699,28699,28699,28699,0,,,false,official_csv,ippansainyu.csv,16860
rd_2026_general_revenue_12_01_01_01_07_3405400000,rs_2026_general_revenue_12_01_01_01,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,01,区民会館,07,世田谷区民会館,3405400000,生政＊文化・国際課,8583,使用料区民会館世田谷区民会館,3,使用料,specific,51543,92648,92648,92648,92648,0,,,false,official_csv,ippansainyu.csv,17045
rd_2026_general_revenue_12_01_01_02_01_2535100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,01,烏山区民センター,2535100000,烏支＊地域振興課,30,使用料区民センター烏山区民センター,3,使用料,specific,5221,5474,5474,5474,5474,0,,,false,official_csv,ippansainyu.csv,16861
rd_2026_general_revenue_12_01_01_02_02_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,02,太子堂区民センター,2135100000,世支＊地域振興課,31,使用料区民センター太子堂区民センター,3,使用料,specific,5444,6355,6355,6355,6355,0,,,false,official_csv,ippansainyu.csv,16739
rd_2026_general_revenue_12_01_01_02_03_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,03,弦巻区民センター,2135100000,世支＊地域振興課,32,使用料区民センター弦巻区民センター,3,使用料,specific,9163,8761,8761,8761,8761,0,,,false,official_csv,ippansainyu.csv,16740
rd_2026_general_revenue_12_01_01_02_04_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,04,宮坂区民センター,2135100000,世支＊地域振興課,33,使用料区民センター宮坂区民センター,3,使用料,specific,13462,15334,15334,15334,15334,0,,,false,official_csv,ippansainyu.csv,16741
rd_2026_general_revenue_12_01_01_02_05_2235100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,05,代田区民センター,2235100000,北支＊地域振興課,34,使用料区民センター代田区民センター,3,使用料,specific,5707,6387,6387,6387,6387,0,,,false,official_csv,ippansainyu.csv,16777
rd_2026_general_revenue_12_01_01_02_06_2335100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,06,深沢区民センター,2335100000,玉支＊地域振興課,35,使用料区民センター深沢区民センター,3,使用料,specific,3680,3750,3750,3750,3750,0,,,false,official_csv,ippansainyu.csv,16803
rd_2026_general_revenue_12_01_01_02_07_2335100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,07,奥沢区民センター,2335100000,玉支＊地域振興課,36,使用料区民センター奥沢区民センター,3,使用料,specific,2070,2110,2110,2110,2110,0,,,false,official_csv,ippansainyu.csv,16804
rd_2026_general_revenue_12_01_01_02_08_2335100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,08,玉川台区民センター,2335100000,玉支＊地域振興課,37,使用料区民センター玉川台区民センター,3,使用料,specific,2300,4920,4920,4920,4920,0,,,false,official_csv,ippansainyu.csv,16805
rd_2026_general_revenue_12_01_01_02_09_2535100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,09,上北沢区民センター,2535100000,烏支＊地域振興課,38,使用料区民センター上北沢区民センター,3,使用料,specific,3117,3530,3530,3530,3530,0,,,false,official_csv,ippansainyu.csv,16862
rd_2026_general_revenue_12_01_01_02_10_2535100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,10,粕谷区民センター,2535100000,烏支＊地域振興課,39,使用料区民センター粕谷区民センター,3,使用料,specific,4140,4731,4731,4731,4731,0,,,false,official_csv,ippansainyu.csv,16863
rd_2026_general_revenue_12_01_01_02_11_2435100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,11,鎌田区民センター,2435100000,砧支＊地域振興課,40,使用料区民センター鎌田区民センター,3,使用料,specific,5221,5810,5810,5810,5810,0,,,false,official_csv,ippansainyu.csv,16833
