年度,当初補正区分,当初補正区分名称,事業区分,事業区分名称,所属,所属名称,事業番号,事業番号名称,会計,会計名称,款,款名称,項,項名称,目,目名称,大事業,大事業名称,予算事業,予算事業名称,内訳事業,内訳事業名称,前々年度決算額,予算前額,予算要求額,予算見積額,現計予算額,充当前額,充当要求額,充当額,現計充当額,一般財源前額,要求一般財源額,一般財源額,一般財源現計額,要求額対見積額,前年度対要求額,前年度対見積額,要求内容,補正内容,査定内容,行財政改善大区分,行財政改善大区分名称,行財政改善中区分,行財政改善中区分名称,行財政改善小区分,行財政改善小区分名称,重点事業区分,重点事業区分名称,実施計画大区分,実施計画大区分名称,実施計画中区分,実施計画中区分名称,実施計画小区分,実施計画小区分名称,実施計画細区分,実施計画細区分名称,普通会計区分,普通会計区分名称,行政評価結果,行政評価結果名称,要求枠区分,要求枠区分名称,要求基準,要求基準額,要求基準一般財源,予備区分１,予備区分１名称,予備区分２,予備区分２名称,予備区分３,予備区分３名称,予備区分４,予備区分４名称,予備区分５,予備区分５名称,予備区分６,予備区分６名称,予備区分７,予備区分７名称,予備区分８,予備区分８名称,査定区分,要求（予算額）,一次（予算額）,二次（予算額）,三次（予算額）,四次（予算額）,五次（予算額）,六次（予算額）,事業別性質別区分,事業別性質別区分名称,政策要求額,臨時要求額,政策査定額,臨時査定額
2023,0,当初,1,一次経費,4905360000,教政＊乳幼教・保支課,8228,乳幼児期の教育・保育の推進,1,一般会計,8,教育費,1,教育総務費,3,教育指導費,1,教育指導関係運営費,48,乳幼児期の教育・保育の推進,1,乳幼児期の教育・保育の推進,0,21957,0,"18,077",18077,0,0,0,0,0,0,0,0,0,0,-3880,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905360000,教政＊乳幼教・保支課,8226,教育総合センター維持管理,1,一般会計,8,教育費,1,教育総務費,7,教育センター費,1,教育会館維持運営費,15,教育総合センター維持管理,1,教育総合センター維持管理,0,128721,0,0,0,0,0,0,0,0,0,0,0,0,0,-128721,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905360000,教政＊乳幼教・保支課,8227,教育総合センター事業運営,1,一般会計,8,教育費,1,教育総務費,7,教育センター費,1,教育会館維持運営費,16,教育総合センター事業運営,1,教育総合センター事業運営,0,28895,0,0,0,0,0,0,0,0,0,0,0,0,0,-28895,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905360000,教政＊乳幼教・保支課,8234,教育総合センター維持管理,1,一般会計,8,教育費,1,教育総務費,7,教育センター費,2,教育総合センター維持運営費,1,教育総合センター維持管理,1,教育総合センター維持管理,0,0,0,"98,356",98356,0,0,0,0,0,0,0,0,0,0,98356,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905360000,教政＊乳幼教・保支課,8235,教育総合センター事業運営,1,一般会計,8,教育費,1,教育総務費,7,教育センター費,2,教育総合センター維持運営費,2,教育総合センター事業運営,1,教育総合センター事業運営,0,0,0,"34,611",34611,0,0,0,0,0,0,0,0,0,0,34611,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905360000,教政＊乳幼教・保支課,8100,区立幼稚園維持運営,1,一般会計,8,教育費,5,幼稚園費,1,幼稚園管理費,1,区立幼稚園維持運営費,2,区立幼稚園維持運営,1,区立幼稚園維持運営,0,56656,0,"57,556",57556,0,0,0,0,0,0,0,0,0,0,900,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905360000,教政＊乳幼教・保支課,8196,区立幼稚園預かり保育事業,1,一般会計,8,教育費,5,幼稚園費,1,幼稚園管理費,1,区立幼稚園維持運営費,4,区立幼稚園預かり保育事業,1,区立幼稚園預かり保育事業,0,7836,0,"8,122",8122,0,0,0,0,0,0,0,0,0,0,286,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905400000,教政＊教育研究・研修課,8021,教職員研修,1,一般会計,8,教育費,1,教育総務費,3,教育指導費,1,教育指導関係運営費,7,教職員研修,1,教職員研修,0,6377,0,"5,867",5867,0,0,0,0,0,0,0,0,0,0,-510,,,,,,,,,,,,2,子ども若者・教育,4,質の高い学校教育の充実,3,信頼される学校づくり,1,信頼される学校づくり,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905400000,教政＊教育研究・研修課,8024,教育研究校運営,1,一般会計,8,教育費,1,教育総務費,3,教育指導費,1,教育指導関係運営費,10,教育研究校運営,1,教育研究校運営,0,85977,0,"86,772",86772,0,0,0,0,0,0,0,0,0,0,795,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
2023,0,当初,1,一次経費,4905400000,教政＊教育研究・研修課,8027,教育研究会活動補助,1,一般会計,8,教育費,1,教育総務費,3,教育指導費,1,教育指導関係運営費,13,教育研究会活動補助,1,教育研究会活動補助,0,8622,0,"8,622",8622,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,行政運営費,0,0,0,0
