revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,section_count,detail_count,validation_status,source_type
2026_general_revenue_14_03_01,2026,general,一般会計,revenue,14,都支出金,03,都委託金,01,総務費委託金,3818183,2538226,-1279957,2538226,0,0,2538226,0,9,17,ok,derived
2026_general_revenue_14_03_02,2026,general,一般会計,revenue,14,都支出金,03,都委託金,02,衛生費委託金,24355,28657,4302,28657,0,0,28657,0,2,4,ok,derived
2026_general_revenue_14_03_03,2026,general,一般会計,revenue,14,都支出金,03,都委託金,03,民生費委託金,255,4430,4175,4430,0,0,4430,0,3,3,ok,derived
2026_general_revenue_14_03_04,2026,general,一般会計,revenue,14,都支出金,03,都委託金,04,土木費委託金,18726,19232,506,19232,0,0,19232,0,4,5,ok,derived
2026_general_revenue_14_03_07,2026,general,一般会計,revenue,14,都支出金,03,都委託金,07,教育費委託金,34982,39128,4146,39128,0,0,39128,0,2,9,ok,derived
2026_general_revenue_15_01_01,2026,general,一般会計,revenue,15,財産収入,01,財産運用収入,01,財産貸付収入,359678,391626,31948,228768,162858,162858,228768,0,5,70,ok,derived
2026_general_revenue_15_01_02,2026,general,一般会計,revenue,15,財産収入,01,財産運用収入,02,利子及配当金,458566,1038818,580252,980757,58061,58061,980757,0,2,19,ok,derived
2026_general_revenue_15_02_01,2026,general,一般会計,revenue,15,財産収入,02,財産売払収入,01,不動産売払収入,206500,692277,485777,0,692277,692277,0,0,1,2,ok,derived
2026_general_revenue_15_02_02,2026,general,一般会計,revenue,15,財産収入,02,財産売払収入,02,物品売払収入,1161760,863913,-297847,846944,16969,16969,846944,0,2,17,ok,derived
2026_general_revenue_16_01_01,2026,general,一般会計,revenue,16,寄附金,01,寄附金,01,一般寄附金,300000,300000,0,0,300000,300000,0,0,1,1,ok,derived
2026_general_revenue_16_01_02,2026,general,一般会計,revenue,16,寄附金,01,寄附金,02,指定寄附金,400000,400000,0,400000,0,0,400000,0,5,21,ok,derived
2026_general_revenue_17_01_01,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,01,減債基金繰入金,1094698,0,-1094698,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_general_revenue_17_01_06,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,06,義務教育施設整備基金繰入金,800000,3459834,2659834,3459834,0,0,3459834,0,1,4,ok,derived
2026_general_revenue_17_01_10,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,10,都市整備基金繰入金,2750000,2300000,-450000,2300000,0,0,2300000,0,1,7,ok,derived
2026_general_revenue_17_01_15,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,15,財政調整基金繰入金,0,0,0,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_general_revenue_17_01_16,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,16,地域保健福祉等推進基金繰入金,200938,174851,-26087,174851,0,0,174851,0,10,11,ok,derived
2026_general_revenue_17_01_21,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,21,住宅基金繰入金,669359,555623,-113736,555623,0,0,555623,0,1,1,ok,derived
2026_general_revenue_17_01_22,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,22,国際平和交流基金繰入金,2020,7553,5533,7553,0,0,7553,0,1,3,ok,derived
2026_general_revenue_17_01_35,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,35,庁舎等建設等基金繰入金,4227000,5887860,1660860,5887860,0,0,5887860,0,2,2,ok,derived
2026_general_revenue_17_01_36,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,36,文化振興基金繰入金,2600,4600,2000,4600,0,0,4600,0,1,1,ok,derived
2026_general_revenue_17_01_38,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,38,子ども・若者基金繰入金,31343,49634,18291,49634,0,0,49634,0,1,9,ok,derived
2026_general_revenue_17_01_40,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,40,災害対策基金繰入金,464936,53425,-411511,53425,0,0,53425,0,1,14,ok,derived
2026_general_revenue_17_01_41,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,41,みどりのトラスト基金繰入金,1172546,1258518,85972,1258518,0,0,1258518,0,1,8,ok,derived
2026_general_revenue_17_01_43,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,43,スポーツ推進基金繰入金,201680,796,-200884,796,0,0,796,0,1,4,ok,derived
2026_general_revenue_17_01_45,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,45,世田谷遊びと学びの教育基金繰入金,4605,5476,871,5476,0,0,5476,0,1,3,ok,derived
2026_general_revenue_17_01_46,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,46,医療的ケア児の笑顔を支える基金繰入金,12240,33189,20949,33189,0,0,33189,0,1,1,ok,derived
2026_general_revenue_17_01_47,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,47,気候危機対策基金繰入金,59199,54355,-4844,54355,0,0,54355,0,1,5,ok,derived
2026_general_revenue_17_01_48,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,48,児童養護施設退所者等奨学・自立支援基金繰入金,46522,40101,-6421,40101,0,0,40101,0,1,1,ok,derived
2026_general_revenue_17_01_49,2026,general,一般会計,revenue,17,繰入金,01,基金繰入金,49,犯罪被害者等支援等基金繰入金,9999,9614,-385,9614,0,0,9614,0,1,1,ok,derived
2026_general_revenue_17_02_03,2026,general,一般会計,revenue,17,繰入金,02,特別会計繰入金,03,介護保険事業会計繰入金,240011,255661,15650,255661,0,0,255661,0,1,5,ok,derived
2026_general_revenue_18_01_01,2026,general,一般会計,revenue,18,繰越金,01,繰越金,01,繰越金,1,1,0,0,1,1,0,0,1,1,ok,derived
2026_general_revenue_19_01_01,2026,general,一般会計,revenue,19,諸収入,01,延滞金加算金及過料,01,延滞金,103052,104027,975,0,104027,104027,0,0,1,2,ok,derived
2026_general_revenue_19_02_01,2026,general,一般会計,revenue,19,諸収入,02,特別区預金利子,01,特別区預金利子,17730,37626,19896,0,37626,37626,0,0,1,1,ok,derived
2026_general_revenue_19_03_01,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,01,奨学資金等収入,17485,14361,-3124,14361,0,0,14361,0,1,1,ok,derived
2026_general_revenue_19_03_04,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,04,区民生活事業資金収入,826,838,12,0,838,838,0,0,2,2,ok,derived
2026_general_revenue_19_03_05,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,05,母子福祉応急小口資金収入,663,547,-116,547,0,0,547,0,1,1,ok,derived
2026_general_revenue_19_03_06,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,06,女性福祉資金収入,10847,9923,-924,9923,0,0,9923,0,2,2,ok,derived
2026_general_revenue_19_03_07,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,07,応急小口資金収入,994,798,-196,798,0,0,798,0,1,1,ok,derived
2026_general_revenue_19_03_09,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,09,私立保育所増改築資金収入,49507,45157,-4350,45157,0,0,45157,0,2,2,ok,derived
2026_general_revenue_19_03_12,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,12,土地開発公社貸付金収入,2809890,1274832,-1535058,1274832,0,0,1274832,0,1,1,ok,derived
2026_general_revenue_19_03_25,2026,general,一般会計,revenue,19,諸収入,03,貸付金元利収入,25,災害援護貸付金,2772,2772,0,2772,0,0,2772,0,1,1,ok,derived
2026_general_revenue_19_04_01,2026,general,一般会計,revenue,19,諸収入,04,受託事業収入,01,民生費受託収入,44863,51385,6522,51385,0,0,51385,0,2,2,ok,derived
2026_general_revenue_19_04_02,2026,general,一般会計,revenue,19,諸収入,04,受託事業収入,02,産業経済費受託収入,88,80,-8,80,0,0,80,0,1,1,ok,derived
2026_general_revenue_19_04_03,2026,general,一般会計,revenue,19,諸収入,04,受託事業収入,03,土木費受託収入,1659510,1170610,-488900,1170610,0,0,1170610,0,4,4,ok,derived
2026_general_revenue_19_04_04,2026,general,一般会計,revenue,19,諸収入,04,受託事業収入,04,衛生費受託収入,173352,284884,111532,284884,0,0,284884,0,1,5,ok,derived
2026_general_revenue_19_05_01,2026,general,一般会計,revenue,19,諸収入,05,収益事業収入,01,競馬組合分配金,600000,600000,0,0,600000,600000,0,0,1,1,ok,derived
2026_general_revenue_19_06_01,2026,general,一般会計,revenue,19,諸収入,06,雑入,01,弁償金,232514,198923,-33591,198923,0,0,198923,0,4,4,ok,derived
2026_general_revenue_19_06_03,2026,general,一般会計,revenue,19,諸収入,06,雑入,03,賄収入,112619,656069,543450,656069,0,0,656069,0,7,7,ok,derived
2026_general_revenue_19_06_04,2026,general,一般会計,revenue,19,諸収入,06,雑入,04,納付金,1723490,1967387,243897,1967387,0,0,1967387,0,2,45,ok,derived
2026_general_revenue_19_06_06,2026,general,一般会計,revenue,19,諸収入,06,雑入,06,滞納処分費,437,568,131,568,0,0,568,0,1,1,ok,derived
2026_general_revenue_19_06_09,2026,general,一般会計,revenue,19,諸収入,06,雑入,09,雑入,1429955,1159414,-270541,1081501,77913,77913,1081501,0,41,243,ok,derived
2026_general_revenue_19_06_10,2026,general,一般会計,revenue,19,諸収入,06,雑入,10,自立支援給付サービス収入,150950,146127,-4823,146127,0,0,146127,0,2,6,ok,derived
2026_general_revenue_19_06_11,2026,general,一般会計,revenue,19,諸収入,06,雑入,11,自立支援給付サービス収入（２）,1703452,1707863,4411,1707863,0,0,1707863,0,2,10,ok,derived
2026_general_revenue_19_06_12,2026,general,一般会計,revenue,19,諸収入,06,雑入,12,雑入（２）,10405,26817,16412,26817,0,0,26817,0,5,14,ok,derived
2026_general_revenue_20_01_01,2026,general,一般会計,revenue,20,特別区債,01,特別区債,01,総務債,870000,1471000,601000,1471000,0,0,1471000,0,1,1,ok,derived
2026_general_revenue_20_01_03,2026,general,一般会計,revenue,20,特別区債,01,特別区債,03,土木債,1550000,1500000,-50000,1500000,0,0,1500000,0,2,2,ok,derived
2026_general_revenue_20_01_04,2026,general,一般会計,revenue,20,特別区債,01,特別区債,04,教育債,1000000,2083000,1083000,2083000,0,0,2083000,0,1,3,ok,derived
2026_general_revenue_21_01_01,2026,general,一般会計,revenue,21,環境性能割交付金,01,環境性能割交付金,01,環境性能割交付金,545000,0,-545000,0,0,0,0,0,1,1,ok_zero_amount,derived
2026_latter_stage_elderly_healthcare_revenue_61_01_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,61,後期高齢者医療保険料,01,後期高齢者医療保険料,01,後期高齢者医療保険料,15908225,18069689,2161464,18069689,0,0,0,18069689,3,3,ok,derived
2026_latter_stage_elderly_healthcare_revenue_62_01_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,62,使用料及手数料,01,手数料,01,総務手数料,30,30,0,30,0,0,0,30,1,1,ok,derived
2026_latter_stage_elderly_healthcare_revenue_63_01_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,63,繰入金,01,一般会計繰入金,01,一般会計繰入金,10054556,10678717,624161,10678717,0,0,0,10678717,7,11,ok,derived
2026_latter_stage_elderly_healthcare_revenue_64_01_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,64,繰越金,01,繰越金,01,繰越金,1,1,0,1,0,0,0,1,2,4,ok,derived
2026_latter_stage_elderly_healthcare_revenue_65_01_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,65,諸収入,01,延滞金加算金及過料,01,延滞金,5000,5000,0,5000,0,0,0,5000,1,1,ok,derived
2026_latter_stage_elderly_healthcare_revenue_65_02_03,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,65,諸収入,02,償還金及還付加算金,03,保険料還付金及還付加算金,35400,35400,0,35400,0,0,0,35400,1,3,ok,derived
2026_latter_stage_elderly_healthcare_revenue_65_03_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,65,諸収入,03,特別区預金利子,01,特別区預金利子,1,1,0,1,0,0,0,1,1,1,ok,derived
2026_latter_stage_elderly_healthcare_revenue_65_04_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,65,諸収入,04,受託事業収入,01,受託事業収入,619170,610275,-8895,610275,0,0,0,610275,3,3,ok,derived
2026_latter_stage_elderly_healthcare_revenue_65_05_01,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,65,諸収入,05,雑入,01,雑入,14458,15682,1224,15682,0,0,0,15682,2,2,ok,derived
2026_latter_stage_elderly_healthcare_revenue_65_05_03,2026,latter_stage_elderly_healthcare,後期高齢者医療会計,revenue,65,諸収入,05,雑入,03,広域連合負担金返還金,1,1,0,1,0,0,0,1,1,1,ok,derived
2026_long_term_care_insurance_revenue_41_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,41,保険料,01,介護保険料,01,第１号被保険者保険料,16398333,16597394,199061,16597394,0,0,0,16597394,3,36,ok,derived
2026_long_term_care_insurance_revenue_42_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,42,使用料及手数料,01,手数料,01,総務手数料,1,1,0,1,0,0,0,1,1,1,ok,derived
